id,user_id,event,ip_address,created_at,updated_at,is_fraud,fraud_likelihood
55,1,Created Vehicle Reservation,127.0.0.1,2024-11-09 00:33:43,2024-11-09 00:33:43,0,0.83229304748424
56,1,logout,127.0.0.1,2024-11-09 00:33:48,2024-11-09 00:33:48,0,1.1489327434917702
57,3,login,127.0.0.1,2024-11-09 00:33:58,2024-11-09 00:33:58,0,0.0
58,3,Created Document,127.0.0.1,2024-11-09 00:34:32,2024-11-09 00:34:32,0,1.2392756286454154
59,3,Viewed Document,127.0.0.1,2024-11-09 00:34:44,2024-11-09 00:34:44,1,100.0
60,3,Created Vehicle Reservation,127.0.0.1,2024-11-09 00:45:18,2024-11-09 00:45:18,0,0.0
61,3,Created Vendor Registration,127.0.0.1,2024-11-09 00:52:40,2024-11-09 00:52:40,0,0.0
62,3,Viewed Vendor Registration,127.0.0.1,2024-11-09 00:52:53,2024-11-09 00:52:53,0,0.0
63,3,Updated Vendor Registration,127.0.0.1,2024-11-09 00:53:04,2024-11-09 00:53:04,0,0.0
64,3,Viewed Document,127.0.0.1,2024-11-09 00:53:13,2024-11-09 00:53:13,0,0.0
65,3,Updated Document,127.0.0.1,2024-11-09 00:53:22,2024-11-09 00:53:22,0,0.0
66,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 00:59:41,2024-11-09 00:59:41,0,0.0
67,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 00:59:54,2024-11-09 00:59:54,0,0.758705438704522
68,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:00:41,2024-11-09 01:00:41,0,0.32937019990000005
69,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:00:58,2024-11-09 01:00:58,0,0.0
70,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:01:18,2024-11-09 01:01:18,0,0.06273622933281109
71,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:04:23,2024-11-09 01:04:23,0,0.0
72,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:05:57,2024-11-09 01:05:57,0,0.0
73,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:06:40,2024-11-09 01:06:40,0,0.0
74,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:07:47,2024-11-09 01:07:47,0,0.0
75,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:08:17,2024-11-09 01:08:17,0,0.0
76,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:08:26,2024-11-09 01:08:26,0,0.0
77,3,Updated Vehicle Reservation,127.0.0.1,2024-11-09 01:08:36,2024-11-09 01:08:36,0,0.0
78,3,Created Vehicle Reservation,127.0.0.1,2024-11-09 01:08:57,2024-11-09 01:08:57,0,0.0
79,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:09:08,2024-11-09 01:09:08,0,0.0
80,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:09:14,2024-11-09 01:09:14,0,0.0
81,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:09:19,2024-11-09 01:09:19,0,1.7358603713768193
82,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:09:39,2024-11-09 01:09:39,0,0.5292492401259206
83,3,Updated Vehicle Reservation,127.0.0.1,2024-11-09 01:09:48,2024-11-09 01:09:48,0,0.0
84,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:09:51,2024-11-09 01:09:51,0,0.2752570700308037
85,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:10:08,2024-11-09 01:10:08,0,1.9395642499746337
